,white_user_id,white_elo,white_aggressiveness,white_total_time,white_early_times_mean,white_early_times_median,white_early_times_variance,white_early_times_max,white_early_times_min,white_mid_times_mean,white_mid_times_median,white_mid_times_variance,white_mid_times_max,white_mid_times_min,white_end_times_mean,white_end_times_median,white_end_times_variance,white_end_times_max,white_end_times_min,black_user_id,black_elo,black_aggressiveness,black_total_time,black_early_times_mean,black_early_times_median,black_early_times_variance,black_early_times_max,black_early_times_min,black_mid_times_mean,black_mid_times_median,black_mid_times_variance,black_mid_times_max,black_mid_times_min,black_end_times_mean,black_end_times_median,black_end_times_variance,black_end_times_max,black_end_times_min,game_link,opening,result,movements,total_time,points_balance,taken_balance,opening_enc
0,DerbesJose,2013,0.5,367.0,4.6875,2.0,47.08984375,27.0,1.0,10.166666666666666,6.5,98.80555555555557,35.0,1.0,6.411764705882353,4.0,30.359861591695502,20.0,1.0,Procellariidae,2450,0.5,638.0,8.625,5.0,80.359375,29.0,0.0,23.38888888888889,15.5,777.2376543209878,123.0,0.0,4.647058823529412,3.0,23.640138408304495,20.0,0.0,https://lichess.org/Ep6MJ18i,Ruy Lopez: Closed Variations,2,104,1005.0,-2,-2,711
1,Procellariidae,2443,0.0,159.0,1.4,1.0,0.6400000000000002,3.0,1.0,8.428571428571429,5.0,41.38775510204082,20.0,2.0,15.5,6.5,438.25,61.0,1.0,DerbesJose,2015,0.0,175.0,1.8,2.0,0.56,3.0,1.0,6.428571428571429,4.0,32.816326530612244,18.0,1.0,20.166666666666668,15.0,316.8055555555556,52.0,2.0,https://lichess.org/9bLQdUlS,"Ruy Lopez: Closed, 7... O-O",0,38,334.0,2,0,723
2,lichess AI level 8,2443,0.0,182.0,4.777777777777778,4.0,2.3950617283950617,8.0,3.0,6.416666666666667,7.0,1.576388888888889,8.0,4.0,5.636363636363637,6.0,2.049586776859504,8.0,3.0,Procellariidae,2443,2.0,1826.0,17.444444444444443,6.0,307.358024691358,47.0,0.0,124.25,32.5,76272.85416666667,1033.0,1.0,17.8,4.0,599.16,80.0,1.0,https://lichess.org/M8DmPY5W,"Ruy Lopez: Exchange Variation, Alapin Gambit",0,65,2008.0,-2,0,727
3,Procellariidae,2443,2.0,1518.0,38.714285714285715,38.0,901.061224489796,95.0,2.0,50.9375,14.0,3438.43359375,190.0,0.0,10.733333333333333,2.0,337.2622222222222,58.0,0.0,lichess AI level 8,2443,2.0,245.0,4.928571428571429,5.0,2.7806122448979593,8.0,2.0,5.5625,6.0,1.62109375,8.0,4.0,5.8,6.0,2.5600000000000005,9.0,4.0,https://lichess.org/PrfZjvZn,Petrov's Defense,2,92,1763.0,-1,1,536
4,Procellariidae,2437,0.0,457.0,3.2222222222222223,2.0,5.728395061728396,9.0,1.0,20.75,8.5,748.6875,100.0,0.0,16.272727272727273,13.0,185.83471074380165,48.0,2.0,AhsanulWahid,2018,0.0,716.0,11.88888888888889,5.0,322.09876543209884,62.0,2.0,30.916666666666668,25.0,951.4097222222221,125.0,2.0,23.8,7.5,1026.9599999999998,94.0,2.0,https://lichess.org/wIaMtF1G,Russian Game: Millennium Attack,0,65,1173.0,1,1,692
5,NasrunAyub,2104,0.0,269.0,2.5,2.5,0.65,4.0,1.0,9.583333333333334,6.5,78.90972222222223,33.0,2.0,11.727272727272727,4.0,148.01652892561984,34.0,1.0,Procellariidae,2425,0.0,583.0,2.1,2.0,1.29,4.0,0.0,37.0,25.0,1493.0,138.0,0.0,10.727272727272727,7.0,129.10743801652893,36.0,0.0,https://lichess.org/PH2BTDj5,Ruy Lopez: Exchange Variation,2,68,852.0,-5,-1,726
6,Procellariidae,2417,0.0,500.0,4.9411764705882355,2.0,53.231833910034595,23.0,0.0,16.94736842105263,7.0,853.9445983379502,130.0,0.0,5.222222222222222,2.0,32.72839506172839,21.0,0.0,mensa_iq122,2025,0.0,608.0,9.294117647058824,1.0,326.56055363321803,73.0,0.0,19.68421052631579,14.0,415.3739612188365,62.0,0.0,4.470588235294118,1.0,86.48442906574394,40.0,0.0,https://lichess.org/lF878ktZ,Ruy Lopez: Morphy Defense,0,109,1108.0,4,0,734
7,Maksimon,2030,2.0,268.0,3.4,3.0,4.04,7.0,0.0,9.083333333333334,4.5,79.07638888888889,27.0,2.0,12.5,9.5,127.25,39.0,2.0,Procellariidae,2408,0.0,373.0,5.0,2.5,19.8,15.0,2.0,19.416666666666668,9.5,613.0763888888888,86.0,0.0,9.0,6.5,102.4,37.0,0.0,https://lichess.org/rUJjN85V,Italian Game: Anti-Fried Liver Defense,2,66,641.0,-3,-1,354
8,lichess AI level 8,2408,0.5,376.0,5.85,5.5,3.2275,8.0,3.0,6.0,6.0,2.260869565217391,8.0,3.0,5.5,6.0,1.7045454545454546,8.0,3.0,Procellariidae,2408,2.5,1177.0,22.8,2.0,1036.56,109.0,0.0,23.91304347826087,3.0,1191.0359168241964,117.0,0.0,8.142857142857142,1.0,351.36054421768716,68.0,0.0,https://lichess.org/rZTjJlNa,"Ruy Lopez: Exchange Variation, Normal Variation",1,131,1553.0,0,0,731
9,Procellariidae,2399,0.0,891.0,3.0,2.5,3.25,6.0,0.0,23.0,6.0,1559.4545454545455,115.0,0.0,61.4,19.0,14246.840000000002,415.0,1.0,forge82,2004,0.0,981.0,1.5,2.0,0.5,2.0,0.0,14.545454545454545,3.0,561.8842975206612,79.0,1.0,89.88888888888889,14.0,24231.876543209873,508.0,0.0,https://lichess.org/CVlbZf5c,Robatsch (Modern) Defense,0,59,1872.0,3,3,684
