,user_id,aggressiveness_mean,most_common_opening,maximum_elo,winning_colour,time_per_game_mean,movements_mean,points_balance_mean,taken_balance_mean
0,procellariidae,0.5,Ruy Lopez,2474,White,855.375,81.0,1.0,1.0
1,billow1,1.4523809523809523,Sicilian Defense,2275,White,679.1904761904761,67.0,2.0,1.0
2,classyplays,0.9375,Queen's Pawn Game,2549,White,2179.339285714286,79.0,1.0,1.0
3,hmyrkosoydocent,0.0,Bogo-Indian Defense,2425,White,480.0,43.0,-2.0,-1.0
4,maksimpanov,0.6,King's Indian Defense,2404,White,662.8,72.0,0.0,-1.0
5,self_service,4.5,Sicilian Defense,2399,White,876.0,90.0,1.0,1.0
6,zugzwang_tv,0.5714285714285714,Nimzo-Larsen Attack,2398,White,3031.6507936507937,51.0,2.0,1.0
7,aqtobe,1.221311475409836,Scandinavian Defense,2315,White,530.7213114754098,68.0,0.0,0.0
8,jposthuma,0.3333333333333333,Caro-Kann Defense,2373,White,1958.0,74.0,2.0,1.0
9,zyx11223,0.5689655172413793,King's Indian Defense,2372,White,509.82758620689657,51.0,1.0,1.0
10,pointlessmaterial,1.0151515151515151,Sicilian Defense,2346,White,732.939393939394,55.0,1.0,1.0
11,osho3058,1.1911764705882353,Caro-Kann Defense,2243,White,841.8823529411765,61.0,1.0,1.0
12,kyren,2.2,Queen's Gambit Accepted,2333,White,540.4,56.0,2.0,1.0
13,gek76,1.52,Queen's Pawn Game,2319,White,570.76,78.0,3.0,1.0
14,massterofmayhem,1.0912698412698412,Sicilian Defense,2489,White,1115.3492063492063,64.0,1.0,0.0
15,jasrom,1.4166666666666667,Queen's Gambit Declined,2335,White,1142.5,75.0,2.0,0.0
16,brooklynboy,0.2857142857142857,English Opening,2389,White,840.2619047619048,74.0,1.0,0.0
17,wittke,0.7019230769230769,Réti Opening,2385,White,1091.2307692307693,67.0,3.0,1.0
18,arabian_night,1.75,Borg Defense,2290,White,894.9166666666666,84.0,2.0,1.0
19,vadimcernov,1.875,Sicilian Defense,2298,White,356.75,68.0,5.0,2.0
20,dark-zone,1.1222222222222222,Sicilian Defense,2361,White,636.5777777777778,62.0,2.0,0.0
21,propileno,1.05,Sicilian Defense,2323,White,1061.1,79.0,-0.0,1.0
22,tiger_tigerov,0.20833333333333334,Ruy Lopez,2203,White,812.5,57.0,3.0,1.0
23,subhra2019,0.38461538461538464,Nimzo-Larsen Attack,2362,White,638.1153846153846,67.0,4.0,1.0
24,kaljakeisari,0.6071428571428571,Sicilian Defense,2322,White,801.6428571428571,71.0,0.0,0.0
25,jonnnyboy2000,0.875,French Defense,2328,White,616.0,63.0,3.0,1.0
26,fischerrob,1.85,Sicilian Defense,2288,White,648.1,64.0,2.0,1.0
27,arteler,0.7790697674418605,French Defense,2313,White,241.6046511627907,56.0,1.0,0.0
28,rufat_nasibov,0.4318181818181818,English Opening,2260,Black,1335.0454545454545,81.0,1.0,0.0
29,marianag,1.0,Réti Opening,2272,Black,983.0,68.0,-1.0,-1.0
30,lord-universe,1.1833333333333333,Sicilian Defense,2369,White,621.4833333333333,69.0,2.0,1.0
31,rochade_augsburg,0.7159090909090909,King's Indian Attack,2306,White,472.6818181818182,90.0,3.0,1.0
32,anwen_digo,0.6153846153846154,Indian Game,2214,White,503.61538461538464,53.0,1.0,0.0
33,kite1993,1.125,Sicilian Defense,2151,White,362.125,49.0,3.0,1.0
34,parasaki,0.7430555555555556,Sicilian Defense,2315,White,939.4166666666666,72.0,1.0,0.0
35,frager68,0.5625,English Opening,2410,White,283.6875,62.0,3.0,1.0
36,aconeni,1.15,Caro-Kann Defense,2283,White,934.6,88.0,1.0,0.0
37,kholpilova,1.3181818181818181,Four Knights Game,2241,White,568.9090909090909,76.0,3.0,2.0
38,dpcjsr,0.0,Zukertort Opening,2198,White,819.3333333333334,38.0,-1.0,0.0
39,josip_buje,1.2448979591836735,Alekhine Defense,2312,White,683.3979591836735,65.0,4.0,2.0
40,smv123,1.1865671641791045,Sicilian Defense,2261,White,796.6716417910447,74.0,3.0,1.0
41,colakturkey,1.55,Sicilian Defense,2194,White,859.2,63.0,3.0,0.0
42,salasar1955,2.0,Sicilian Defense,2157,White,568.0,37.0,0.0,0.0
43,matirom,0.6122448979591837,Slav Defense,2280,White,810.7755102040817,81.0,0.0,0.0
44,sroosh85,0.5,Torre Attack,2178,White,153.5,48.0,2.0,-0.0
45,lookmeintheeye,1.3666666666666667,English Opening,2308,White,1144.1666666666667,73.0,3.0,1.0
46,kokochambo,1.106060606060606,Sicilian Defense,2168,White,777.6060606060606,64.0,1.0,1.0
47,ulysse06,0.6554054054054054,King's Indian Defense,2317,White,1204.081081081081,81.0,2.0,1.0
48,apdemic,0.0,Queen's Gambit Declined,2184,White,1112.0,58.0,4.0,2.0
49,jonathan_wolf,1.4375,Philidor Defense,2217,White,874.0,78.0,4.0,1.0
50,tenthousandhours,0.8888888888888888,Modern Defense,2258,White,3229.4444444444443,70.0,-0.0,-0.0
51,luhrman,0.75,Sicilian Defense,2271,White,745.5,90.0,2.0,0.0
52,alms,1.3571428571428572,Modern Defense,2252,White,3651.1428571428573,78.0,-1.0,1.0
53,demarionash,0.9411764705882353,English Opening,2193,White,542.2941176470588,72.0,5.0,2.0
54,robertt74,0.9590163934426229,Sicilian Defense,2270,White,331.60655737704917,69.0,3.0,1.0
55,mishel52,0.8785046728971962,Sicilian Defense,2264,White,747.607476635514,79.0,2.0,1.0
56,kisel70,0.6666666666666666,English Opening,2104,White,893.75,64.0,2.0,1.0
57,kalli_feldchamp,1.2857142857142858,Pirc Defense,2189,White,562.8571428571429,64.0,0.0,0.0
58,peristeria,0.85,French Defense,2334,White,1631.7,75.0,1.0,1.0
59,unukr1,0.6363636363636364,English Opening,2235,White,578.7272727272727,60.0,1.0,0.0
60,sforgasi009,0.25,Zukertort Opening,2161,White,474.875,65.0,4.0,2.0
61,zhan_gaben1966,0.984375,Sicilian Defense,2250,White,639.2,67.0,1.0,0.0
62,koh99koh,0.8333333333333334,Benko Gambit,2125,White,476.0,71.0,1.0,1.0
63,mariuseg,0.9583333333333334,Sicilian Defense,2214,White,629.1923076923077,73.0,1.0,0.0
64,ephemerall,1.3173076923076923,Queen's Pawn Game,2259,White,767.4038461538462,65.0,2.0,1.0
