,user_id,game_link,elo,colour,opening,result,movements,total_time_player,total_time,early_times_mean,early_times_median,early_times_variance,early_times_max,early_times_min,mid_times_mean,mid_times_median,mid_times_variance,mid_times_max,mid_times_min,end_times_mean,end_times_median,end_times_variance,end_times_max,end_times_min,points_balance,taken_balance,aggressiveness
0,DerbesJose,https://lichess.org/Ep6MJ18i,2013,White,Ruy Lopez: Closed Variations,0,104,367.0,1005.0,4.6875,2.0,47.08984375,27.0,1.0,10.166666666666666,6.5,98.80555555555557,35.0,1.0,6.411764705882353,4.0,30.359861591695502,20.0,1.0,-2,-2,0.5
1,Procellariidae,https://lichess.org/Ep6MJ18i,2450,Black,Ruy Lopez: Closed Variations,2,104,638.0,1005.0,8.625,5.0,80.359375,29.0,0.0,23.38888888888889,15.5,777.2376543209878,123.0,0.0,4.647058823529412,3.0,23.640138408304495,20.0,0.0,2,2,0.5
2,Procellariidae,https://lichess.org/9bLQdUlS,2443,White,"Ruy Lopez: Closed, 7... O-O",2,38,159.0,334.0,1.4,1.0,0.6400000000000002,3.0,1.0,8.428571428571429,5.0,41.38775510204082,20.0,2.0,15.5,6.5,438.25,61.0,1.0,2,0,0.0
3,DerbesJose,https://lichess.org/9bLQdUlS,2015,Black,"Ruy Lopez: Closed, 7... O-O",0,38,175.0,334.0,1.8,2.0,0.56,3.0,1.0,6.428571428571429,4.0,32.816326530612244,18.0,1.0,20.166666666666668,15.0,316.8055555555556,52.0,2.0,-2,0,0.0
4,lichess AI level 8,https://lichess.org/M8DmPY5W,2443,White,"Ruy Lopez: Exchange Variation, Alapin Gambit",2,65,182.0,2008.0,4.777777777777778,4.0,2.3950617283950617,8.0,3.0,6.416666666666667,7.0,1.576388888888889,8.0,4.0,5.636363636363637,6.0,2.049586776859504,8.0,3.0,-2,0,0.0
5,Procellariidae,https://lichess.org/M8DmPY5W,2443,Black,"Ruy Lopez: Exchange Variation, Alapin Gambit",0,65,1826.0,2008.0,17.444444444444443,6.0,307.358024691358,47.0,0.0,124.25,32.5,76272.85416666667,1033.0,1.0,17.8,4.0,599.16,80.0,1.0,2,0,2.0
6,Procellariidae,https://lichess.org/PrfZjvZn,2443,White,Petrov's Defense,0,92,1518.0,1763.0,38.714285714285715,38.0,901.061224489796,95.0,2.0,50.9375,14.0,3438.43359375,190.0,0.0,10.733333333333333,2.0,337.2622222222222,58.0,0.0,-1,1,2.0
7,lichess AI level 8,https://lichess.org/PrfZjvZn,2443,Black,Petrov's Defense,2,92,245.0,1763.0,4.928571428571429,5.0,2.7806122448979593,8.0,2.0,5.5625,6.0,1.62109375,8.0,4.0,5.8,6.0,2.5600000000000005,9.0,4.0,1,-1,2.0
8,Procellariidae,https://lichess.org/wIaMtF1G,2437,White,Russian Game: Millennium Attack,2,65,457.0,1173.0,3.2222222222222223,2.0,5.728395061728396,9.0,1.0,20.75,8.5,748.6875,100.0,0.0,16.272727272727273,13.0,185.83471074380165,48.0,2.0,1,1,0.0
9,AhsanulWahid,https://lichess.org/wIaMtF1G,2018,Black,Russian Game: Millennium Attack,0,65,716.0,1173.0,11.88888888888889,5.0,322.09876543209884,62.0,2.0,30.916666666666668,25.0,951.4097222222221,125.0,2.0,23.8,7.5,1026.9599999999998,94.0,2.0,-1,-1,0.0
10,NasrunAyub,https://lichess.org/PH2BTDj5,2104,White,Ruy Lopez: Exchange Variation,0,68,269.0,852.0,2.5,2.5,0.65,4.0,1.0,9.583333333333334,6.5,78.90972222222223,33.0,2.0,11.727272727272727,4.0,148.01652892561984,34.0,1.0,-5,-1,0.0
11,Procellariidae,https://lichess.org/PH2BTDj5,2425,Black,Ruy Lopez: Exchange Variation,2,68,583.0,852.0,2.1,2.0,1.29,4.0,0.0,37.0,25.0,1493.0,138.0,0.0,10.727272727272727,7.0,129.10743801652893,36.0,0.0,5,1,0.0
12,Procellariidae,https://lichess.org/lF878ktZ,2417,White,Ruy Lopez: Morphy Defense,2,109,500.0,1108.0,4.9411764705882355,2.0,53.231833910034595,23.0,0.0,16.94736842105263,7.0,853.9445983379502,130.0,0.0,5.222222222222222,2.0,32.72839506172839,21.0,0.0,4,0,0.0
13,mensa_iq122,https://lichess.org/lF878ktZ,2025,Black,Ruy Lopez: Morphy Defense,0,109,608.0,1108.0,9.294117647058824,1.0,326.56055363321803,73.0,0.0,19.68421052631579,14.0,415.3739612188365,62.0,0.0,4.470588235294118,1.0,86.48442906574394,40.0,0.0,-4,0,0.0
14,Maksimon,https://lichess.org/rUJjN85V,2030,White,Italian Game: Anti-Fried Liver Defense,0,66,268.0,641.0,3.4,3.0,4.04,7.0,0.0,9.083333333333334,4.5,79.07638888888889,27.0,2.0,12.5,9.5,127.25,39.0,2.0,-3,-1,2.0
15,Procellariidae,https://lichess.org/rUJjN85V,2408,Black,Italian Game: Anti-Fried Liver Defense,2,66,373.0,641.0,5.0,2.5,19.8,15.0,2.0,19.416666666666668,9.5,613.0763888888888,86.0,0.0,9.0,6.5,102.4,37.0,0.0,3,1,0.0
